"Biomass allometry","Local height allometry","Census year","Census interval","AGB"
"Chave et al., 2005","No",1985,"1980 - 1985","306 (291-320)"
"Chave et al., 2005","No",1990,"1985 - 1990","302 (290-316)"
"Chave et al., 2005","No",1995,"1990 - 1995","300 (288-312)"
"Chave et al., 2005","No",2000,"1995 - 2000","303 (291-315)"
"Chave et al., 2005","No",2005,"2000 - 2005","298 (286-311)"
"Chave et al., 2005","No",2010,"2005 - 2010","294 (282-307)"
"Chave et al., 2005","No",2015,"2010 - 2015","297 (285-311)"
"Chave et al., 2005","Yes",1985,"1980 - 1985","236 (225-248)"
"Chave et al., 2005","Yes",1990,"1985 - 1990","233 (224-244)"
"Chave et al., 2005","Yes",1995,"1990 - 1995","231 (222-240)"
"Chave et al., 2005","Yes",2000,"1995 - 2000","233 (224-243)"
"Chave et al., 2005","Yes",2005,"2000 - 2005","230 (221-239)"
"Chave et al., 2005","Yes",2010,"2005 - 2010","227 (217-236)"
"Chave et al., 2005","Yes",2015,"2010 - 2015","229 (220-238)"
"Chave et al., 2014","No",1985,"1980 - 1985","269 (256-282)"
"Chave et al., 2014","No",1990,"1985 - 1990","265 (253-277)"
"Chave et al., 2014","No",1995,"1990 - 1995","262 (251-272)"
"Chave et al., 2014","No",2000,"1995 - 2000","265 (253-276)"
"Chave et al., 2014","No",2005,"2000 - 2005","261 (249-273)"
"Chave et al., 2014","No",2010,"2005 - 2010","258 (246-269)"
"Chave et al., 2014","No",2015,"2010 - 2015","260 (249-272)"
"Chave et al., 2014","Yes",1985,"1985 - 1990","243 (232-254)"
"Chave et al., 2014","Yes",1990,"1990 - 1995","241 (231-250)"
"Chave et al., 2014","Yes",1995,"1995 - 2000","239 (230-248)"
"Chave et al., 2014","Yes",2000,"2000 - 2005","241 (231-250)"
"Chave et al., 2014","Yes",2005,"2005 - 2010","237 (228-246)"
"Chave et al., 2014","Yes",2010,"2010 - 2015","234 (225-244)"
"Chave et al., 2014","Yes",2015,NA,"236 (227-245)"
