"Census year","Census interval","Taper correction","Kohyama correction","Outlier substitution","AGB","deltaAGB","AWP","AWM","BA","deltaBA","BAP","BAM","N","deltaN","N10","deltaN10"
1985,"1980 - 1985","No","No","No","243 (232-254)","-0.513 (-1.61-0.481)","5.74 (4.97-6.49)","6.08 (5.57-6.62)","31.5 (30.4-32.7)","0.0626 (-0.0354-0.153)","0.986 (0.909-1.06)","0.931 (0.877-0.991)","4850 (4790-4910)","-2.67 (-9.04-3.43)","394 (388-399)","1.96 (1.36-2.58)"
1990,"1985 - 1990","No","No","No","241 (231-250)","-0.4 (-1.01-0.185)","6.01 (5.47-6.56)","6.48 (5.88-7.1)","31.8 (30.8-32.8)","-0.0417 (-0.109-0.0255)","0.972 (0.91-1.03)","1.02 (0.963-1.1)","4830 (4770-4880)","-64.3 (-69.4--59.2)","404 (398-409)","0.856 (0.268-1.44)"
1995,"1990 - 1995","No","No","No","239 (230-248)","0.435 (-0.278-1.14)","6.95 (6.44-7.47)","6.54 (5.84-7.25)","31.6 (30.7-32.5)","0.0152 (-0.0611-0.0861)","1.03 (0.974-1.09)","1.02 (0.957-1.09)","4510 (4460-4560)","-50.6 (-55.5--46.3)","408 (402-414)","-1.09 (-1.65--0.504)"
2000,"1995 - 2000","No","No","No","241 (231-250)","-0.736 (-1.39--0.112)","6.11 (5.67-6.55)","6.81 (6.24-7.46)","31.7 (30.7-32.7)","-0.0977 (-0.164--0.0338)","0.953 (0.907-1)","1.05 (0.989-1.11)","4260 (4210-4300)","-22.5 (-27.6--17.2)","402 (397-408)","-1.24 (-1.83--0.616)"
2005,"2000 - 2005","No","No","No","237 (228-246)","-0.561 (-1.32-0.114)","6.1 (5.62-6.55)","6.67 (6.06-7.39)","31.2 (30.2-32.1)","-0.0367 (-0.114-0.0289)","0.976 (0.923-1.02)","1.02 (0.954-1.09)","4140 (4100-4190)","-5.09 (-10.3-0.88)","396 (391-402)","-0.5 (-1.08-0.0561)"
2010,"2005 - 2010","No","No","No","234 (225-244)","0.431 (-0.187-0.996)","5.64 (5.3-5.92)","5.12 (4.66-5.63)","31 (30.1-32)","0.0285 (-0.0299-0.0853)","0.775 (0.745-0.805)","0.733 (0.686-0.781)","4120 (4080-4160)","12.2 (6.74-17.9)","394 (388-399)","0.116 (-0.44-0.736)"
2015,"2010 - 2015","No","No","No","236 (227-245)",NA,NA,NA,"31.2 (30.1-32.2)",NA,NA,NA,"4180 (4130-4230)",NA,"394 (388-400)",NA
1985,"1980 - 1985","No","No","Yes","243 (232-255)","-0.513 (-1.47-0.557)","8.22 (7.84-8.63)","6.08 (5.59-6.65)","31.5 (30.5-32.6)","0.0626 (-0.0376-0.154)","1.21 (1.17-1.25)","0.931 (0.874-0.988)",NA,NA,NA,NA
1990,"1985 - 1990","No","No","Yes","241 (231-250)","-0.4 (-1.04-0.176)","7.15 (6.72-7.65)","6.48 (5.91-7.13)","31.8 (30.8-32.8)","-0.0417 (-0.109-0.0167)","1.08 (1.03-1.13)","1.02 (0.96-1.09)",NA,NA,NA,NA
1995,"1990 - 1995","No","No","Yes","239 (229-247)","0.435 (-0.305-1.12)","7.18 (6.82-7.59)","6.54 (5.92-7.24)","31.6 (30.7-32.5)","0.0152 (-0.0578-0.087)","1.05 (1.01-1.09)","1.02 (0.954-1.1)",NA,NA,NA,NA
2000,"1995 - 2000","No","No","Yes","241 (231-250)","-0.736 (-1.4--0.0997)","6.69 (6.37-7.02)","6.81 (6.29-7.37)","31.7 (30.7-32.8)","-0.0977 (-0.168--0.0289)","1.01 (0.972-1.05)","1.05 (0.985-1.11)",NA,NA,NA,NA
2005,"2000 - 2005","No","No","Yes","237 (228-247)","-0.561 (-1.29-0.119)","6.91 (6.63-7.24)","6.67 (6.05-7.32)","31.2 (30.2-32.2)","-0.0367 (-0.12-0.031)","1.05 (1.02-1.08)","1.02 (0.953-1.09)",NA,NA,NA,NA
2010,"2005 - 2010","No","No","Yes","234 (225-244)","0.431 (-0.122-1.02)","5.82 (5.63-6.02)","5.12 (4.67-5.59)","31 (30.1-32)","0.0285 (-0.0349-0.087)","0.789 (0.77-0.81)","0.733 (0.683-0.787)",NA,NA,NA,NA
2015,"2010 - 2015","No","No","Yes","236 (227-246)",NA,NA,NA,"31.2 (30.1-32.1)",NA,NA,NA,NA,NA,NA,NA
