"FG","Census year","Census interval","AGB","AWP","AWM"
NA,1985,"1985 - 1990","21.3 (17.4-25.8)","0.915 (0.815-1.01)","0.682 (0.56-0.867)"
NA,1990,"1990 - 1995","21.2 (17.5-25.7)","0.898 (0.817-0.986)","0.673 (0.592-0.766)"
NA,1995,"1995 - 2000","21.8 (17.8-26.1)","0.871 (0.786-0.968)","0.805 (0.622-1.03)"
NA,2000,"2000 - 2005","21.9 (17.7-26.3)","0.868 (0.758-1.01)","0.921 (0.697-1.23)"
NA,2005,"2005 - 2010","22.3 (18.1-27.1)","0.866 (0.772-0.975)","0.827 (0.574-1.26)"
NA,2010,"2010 - 2015","21.4 (18-25.4)","0.615 (0.519-0.719)","0.276 (0.187-0.398)"
NA,2015,"1980 - 1985","23.4 (19.5-27.7)",NA,NA
"1",1985,"1985 - 1990","2.82 (2.63-3.03)","0.25 (0.224-0.283)","0.245 (0.214-0.278)"
"1",1990,"1990 - 1995","2.97 (2.79-3.18)","0.218 (0.189-0.254)","0.283 (0.25-0.318)"
"1",1995,"1995 - 2000","2.66 (2.47-2.87)","0.213 (0.183-0.246)","0.249 (0.222-0.281)"
"1",2000,"2000 - 2005","2.48 (2.3-2.68)","0.199 (0.169-0.233)","0.232 (0.204-0.264)"
"1",2005,"2005 - 2010","2.31 (2.13-2.53)","0.213 (0.183-0.253)","0.218 (0.185-0.258)"
"1",2010,"2010 - 2015","2.29 (2.11-2.49)","0.0989 (0.092-0.106)","0.0953 (0.084-0.108)"
"1",2015,"1980 - 1985","2.3 (2.13-2.5)",NA,NA
"2",1985,"1985 - 1990","134 (127-141)","4.61 (4.3-4.95)","3.56 (3.17-3.94)"
"2",1990,"1990 - 1995","132 (126-138)","3.92 (3.62-4.27)","3.69 (3.26-4.14)"
"2",1995,"1995 - 2000","131 (125-137)","3.86 (3.57-4.18)","3.72 (3.27-4.22)"
"2",2000,"2000 - 2005","130 (124-137)","3.5 (3.28-3.73)","3.74 (3.34-4.18)"
"2",2005,"2005 - 2010","127 (121-134)","3.61 (3.37-3.87)","4 (3.56-4.5)"
"2",2010,"2010 - 2015","124 (118-130)","3.02 (2.9-3.18)","2.82 (2.46-3.22)"
"2",2015,"1980 - 1985","124 (118-130)",NA,NA
"3",1985,"1985 - 1990","85 (77-92.8)","2.44 (2.24-2.68)","1.6 (1.3-1.92)"
"3",1990,"1990 - 1995","84.2 (77.4-90.8)","2.29 (2.03-2.61)","1.83 (1.47-2.29)"
"3",1995,"1995 - 2000","83.2 (77.4-90)","2.26 (2.06-2.5)","1.76 (1.43-2.2)"
"3",2000,"2000 - 2005","85.9 (79.2-92.6)","2.12 (1.97-2.32)","1.92 (1.63-2.25)"
"3",2005,"2005 - 2010","85 (78.8-91.8)","2.22 (2.07-2.42)","1.62 (1.38-1.88)"
"3",2010,"2010 - 2015","87 (80.5-94.6)","2.08 (1.97-2.21)","1.93 (1.66-2.24)"
"3",2015,NA,"86.7 (80-94.2)",NA,NA
