"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Abarema macradenia",1985,"1985 - 1990","0.0284 (0.000664-0.0827)","0.00376 (9.63e-05-0.011)","0 (0-0)","0.00408 (0.000265-0.0113)","0.000435 (2.41e-05-0.00123)","0 (0-0)","0.2 (0.2-0.2)","0.04 (0.04-0.04)"
"Abarema macradenia",1990,"1990 - 1995","0.0471 (0.00123-0.138)","0.00397 (-3.97e-06-0.0117)","3.05e-06 (0-9.15e-06)","0.00626 (0.000414-0.0175)","0.000438 (2.03e-06-0.00126)","1.86e-06 (0-5.58e-06)","0.22 (0.22-0.22)","0.04 (0.04-0.04)"
"Abarema macradenia",1995,"1995 - 2000","0.067 (0.00142-0.195)","0.00454 (9.85e-05-0.0134)","4.01e-06 (0-1.2e-05)","0.00844 (0.00049-0.0237)","0.000487 (2.74e-05-0.00137)","2.28e-06 (0-6.83e-06)","0.22 (0.22-0.22)","0.06 (0.06-0.06)"
"Abarema macradenia",2000,"2000 - 2005","0.0896 (0.00181-0.262)","0.00356 (0.000196-0.01)","0 (0-0)","0.0108 (0.000586-0.0307)","4e-04 (5.41e-05-0.00105)","0 (0-0)","0.22 (0.22-0.22)","0.06 (0.06-0.06)"
"Abarema macradenia",2005,"2005 - 2010","0.108 (0.00277-0.312)","0.00385 (0.000303-0.0101)","1.59e-06 (0-4.78e-06)","0.0129 (0.000817-0.0361)","0.000479 (9.84e-05-0.00111)","1.12e-06 (0-3.36e-06)","0.32 (0.32-0.32)","0.08 (0.08-0.08)"
"Abarema macradenia",2010,"2010 - 2015","0.127 (0.00485-0.363)","0.00555 (0.000656-0.014)","0.000248 (0-0.000739)","0.0153 (0.00132-0.0415)","0.000719 (0.000203-0.00151)","5.91e-05 (0-0.000176)","0.64 (0.54-0.78)","0.14 (0.14-0.14)"
"Abarema macradenia",2015,"1980 - 1985","0.153 (0.00758-0.425)",NA,NA,"0.0186 (0.0021-0.0503)",NA,NA,"0.86 (0.76-1)","0.14 (0.14-0.14)"
"Acalypha diversifolia",1985,"1985 - 1990","0.035 (0.0301-0.041)","0.0039 (0.00336-0.00441)","0.00435 (0.00351-0.00529)","0.0215 (0.019-0.0239)","0.002 (0.00175-0.00229)","0.00269 (0.00232-0.00311)","24 (22.3-25.6)","0.06 (0.06-0.06)"
"Acalypha diversifolia",1990,"1990 - 1995","0.0298 (0.0259-0.0342)","0.00215 (0.00178-0.00258)","0.00433 (0.00377-0.005)","0.0183 (0.0164-0.0204)","0.00135 (0.00113-0.00157)","0.00273 (0.00238-0.00307)","15.7 (14.7-16.9)","0.04 (0.04-0.04)"
"Acalypha diversifolia",1995,"1995 - 2000","0.0196 (0.0165-0.023)","0.00202 (0.00166-0.00244)","0.00257 (0.00214-0.00307)","0.0118 (0.0103-0.0133)","0.00134 (0.00109-0.00158)","0.0016 (0.00135-0.00186)","9.82 (9.12-10.7)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2000,"2000 - 2005","0.0167 (0.0135-0.0204)","0.00265 (0.00213-0.00329)","0.00227 (0.00181-0.00283)","0.0104 (0.00869-0.0122)","0.00181 (0.00151-0.00216)","0.00145 (0.00119-0.00173)","9.4 (8.32-10.8)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2005,"2005 - 2010","0.0188 (0.0149-0.0233)","0.00412 (0.00346-0.0049)","0.00255 (0.00189-0.00336)","0.0123 (0.0102-0.0146)","0.00274 (0.00233-0.00319)","0.00163 (0.00129-0.00201)","14.3 (12.8-15.9)","0.02 (0.02-0.02)"
"Acalypha diversifolia",2010,"2010 - 2015","0.0266 (0.0221-0.0312)","0.00437 (0.00378-0.00507)","0.00239 (0.00184-0.00298)","0.0178 (0.0153-0.0206)","0.00292 (0.00253-0.00332)","0.00155 (0.00125-0.00189)","20.1 (18.1-22.1)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2015,"1980 - 1985","0.0364 (0.0315-0.0418)",NA,NA,"0.0246 (0.022-0.0277)",NA,NA,"28.8 (26.1-31.8)","0.02 (0.02-0.02)"
"Acalypha macrostachya",1985,"1985 - 1990","0.00547 (0.00353-0.00746)","0.000829 (0.000511-0.00121)","0.00083 (0.000465-0.00124)","0.00289 (0.002-0.00389)","0.000389 (0.000261-0.000555)","0.000437 (0.000277-0.000625)","1.3 (1.02-1.7)",NA
"Acalypha macrostachya",1990,"1990 - 1995","0.00529 (0.00319-0.00793)","0.000469 (0.000262-0.000687)","0.000876 (0.000493-0.0013)","0.00264 (0.00169-0.00369)","0.000255 (0.000152-0.000372)","0.000444 (0.000279-0.000633)","0.88 (0.7-1.1)","0.04 (0.04-0.04)"
"Acalypha macrostachya",1995,"1995 - 2000","0.00336 (0.00181-0.00541)","0.000621 (0.000311-0.000973)","0.000557 (0.00028-0.000907)","0.00175 (0.00111-0.00254)","0.000323 (0.000168-0.000481)","0.000291 (0.000158-0.000433)","0.78 (0.58-1.06)","0.02 (0.02-0.02)"
"Acalypha macrostachya",2000,"2000 - 2005","0.0037 (0.00191-0.00564)","0.000642 (0.000282-0.00106)","0.000479 (0.000232-0.000762)","0.00191 (0.00109-0.00281)","0.000351 (0.000176-0.000549)","0.000257 (0.000132-0.000404)","0.88 (0.5-1.52)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2005,"2005 - 2010","0.00451 (0.00209-0.00738)","0.000662 (0.000344-0.00102)","6e-04 (0.000268-0.00102)","0.00238 (0.00123-0.00386)","0.000365 (0.000186-0.000551)","0.000341 (0.000168-0.000546)","0.98 (0.68-1.34)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2010,"2010 - 2015","0.00483 (0.00205-0.00824)","0.000754 (0.000231-0.00142)","0.000637 (0.00021-0.00122)","0.0025 (0.0012-0.00416)","0.000406 (0.000135-0.000797)","0.000316 (0.000127-0.000526)","1.04 (0.7-1.44)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2015,"1980 - 1985","0.00544 (0.00231-0.00964)",NA,NA,"0.00296 (0.00135-0.00506)",NA,NA,"1.26 (0.68-1.98)","0.02 (0.02-0.02)"
"Adelia triloba",1985,"1985 - 1990","0.465 (0.343-0.592)","0.0671 (0.0457-0.093)","0.0678 (0.0477-0.0933)","0.0694 (0.0551-0.0853)","0.00987 (0.00734-0.0127)","0.00971 (0.00714-0.0125)","7 (6.16-7.9)","2.28 (2.06-2.52)"
"Adelia triloba",1990,"1990 - 1995","0.461 (0.351-0.598)","0.0715 (0.0507-0.0963)","0.0823 (0.059-0.114)","0.0701 (0.0546-0.0881)","0.0103 (0.00771-0.0135)","0.0121 (0.00892-0.0161)","7.1 (6.2-8.14)","2.1 (1.86-2.36)"
"Adelia triloba",1995,"1995 - 2000","0.41 (0.304-0.547)","0.0703 (0.0476-0.0956)","0.0721 (0.0517-0.097)","0.0616 (0.0483-0.0778)","0.00992 (0.00725-0.0131)","0.0105 (0.00802-0.0135)","5.62 (4.92-6.42)","1.82 (1.6-2.06)"
"Adelia triloba",2000,"2000 - 2005","0.401 (0.291-0.548)","0.0612 (0.04-0.0931)","0.0716 (0.0479-0.0989)","0.0588 (0.0451-0.0744)","0.0086 (0.00587-0.0119)","0.0103 (0.00766-0.0134)","4.48 (3.94-5.14)","1.6 (1.44-1.8)"
"Adelia triloba",2005,"2005 - 2010","0.348 (0.227-0.498)","0.0639 (0.0397-0.1)","0.0632 (0.0393-0.0949)","0.0503 (0.0359-0.0661)","0.00891 (0.00618-0.0124)","0.00889 (0.00593-0.0123)","3.82 (3.32-4.38)","1.42 (1.26-1.62)"
"Adelia triloba",2010,"2010 - 2015","0.351 (0.227-0.504)","0.0075 (0.00525-0.0101)","0.0139 (0.00731-0.0228)","0.0504 (0.0365-0.0678)","0.00125 (0.000876-0.00168)","0.00218 (0.00125-0.00335)","3.92 (3.4-4.48)","1.32 (1.18-1.48)"
"Adelia triloba",2015,"1980 - 1985","0.317 (0.201-0.466)",NA,NA,"0.0455 (0.0323-0.0609)",NA,NA,"3.34 (2.94-3.82)","1.16 (1.02-1.32)"
"Aegiphila panamensis",1985,"1985 - 1990","0.0607 (0.0439-0.0849)","0.00206 (0.00141-0.00282)","0.00169 (0.00048-0.00373)","0.0104 (0.00778-0.0134)","0.000321 (0.000226-0.000436)","0.000304 (0.000118-0.000602)","2.5 (2.32-2.7)","0.42 (0.42-0.42)"
"Aegiphila panamensis",1990,"1990 - 1995","0.0623 (0.0442-0.0812)","0.00162 (0.00099-0.00235)","0.00197 (0.000312-0.00428)","0.0104 (0.00797-0.0131)","0.000248 (0.000159-0.000352)","0.000321 (8.78e-05-0.00065)","1.86 (1.74-2)","0.46 (0.46-0.46)"
"Aegiphila panamensis",1995,"1995 - 2000","0.0611 (0.0459-0.08)","0.00118 (0.000694-0.00174)","0.00163 (0.000563-0.00308)","0.0101 (0.00783-0.0126)","0.000166 (0.000101-0.000234)","0.000313 (0.000133-0.000539)","1.54 (1.42-1.68)","0.46 (0.46-0.46)"
"Aegiphila panamensis",2000,"2000 - 2005","0.0588 (0.0419-0.0769)","0.000792 (0.000351-0.00129)","0.00291 (0.00097-0.00528)","0.00941 (0.00707-0.0121)","0.000115 (5.36e-05-0.000197)","0.000479 (0.000202-0.000814)","1.24 (1.12-1.38)","0.42 (0.4-0.46)"
"Aegiphila panamensis",2005,"2005 - 2010","0.0481 (0.0323-0.0668)","0.000657 (0.000295-0.00104)","0.00255 (0.00083-0.00483)","0.00758 (0.00529-0.01)","0.000113 (5.52e-05-0.000181)","0.000407 (0.000153-0.000754)","0.86 (0.78-0.96)","0.34 (0.32-0.38)"
"Aegiphila panamensis",2010,"2010 - 2015","0.0387 (0.0232-0.0556)","0.000612 (0.00036-0.00092)","0.00141 (0.000434-0.0028)","0.00611 (0.00405-0.00842)","8.82e-05 (5.51e-05-0.000128)","0.00025 (7.99e-05-0.00046)","0.76 (0.7-0.86)","0.28 (0.26-0.32)"
"Aegiphila panamensis",2015,"1980 - 1985","0.0344 (0.0199-0.0505)",NA,NA,"0.00526 (0.00317-0.00753)",NA,NA,"0.52 (0.48-0.6)","0.26 (0.22-0.34)"
"Alchornea costaricensis",1985,"1985 - 1990","1.32 (1-1.68)","0.108 (0.0669-0.155)","0.135 (0.0815-0.19)","0.275 (0.22-0.337)","0.0214 (0.0148-0.0301)","0.0258 (0.0167-0.0358)","6.56 (5.8-7.44)","3.22 (2.94-3.56)"
"Alchornea costaricensis",1990,"1990 - 1995","1.14 (0.851-1.47)","0.117 (0.0728-0.17)","0.128 (0.0772-0.19)","0.244 (0.195-0.295)","0.0232 (0.0146-0.0324)","0.0253 (0.0164-0.0352)","6.02 (5.44-6.78)","3.22 (2.9-3.66)"
"Alchornea costaricensis",1995,"1995 - 2000","1.08 (0.815-1.36)","0.0949 (0.057-0.143)","0.0964 (0.0558-0.146)","0.233 (0.184-0.281)","0.0186 (0.0111-0.0268)","0.0195 (0.0125-0.0287)","5.44 (4.84-6.12)","3.22 (2.9-3.64)"
